artist,count
The Killers,78
Gesu No Kiwami Otome,76
The Cure,73
Billy Talent,69
My Chemical Romance,67
The Strokes,65
Waterparks,61
Fall Out Boy,59
Panic! At The Disco,58
Paramore,45
Palaye Royale,43
Pierce The Veil,41
Black Veil Brides,33
The All-American Rejects,33
System Of A Down,31
Two Door Cinema Club,29
All Time Low,28
Static-X,28
Breaking Benjamin,25
Get Scared,25
Depeche Mode,23
Linkin Park,19
Good Charlotte,18
Rush,18
New Order,17
Green Day,17
Avenged Sevenfold,16
The Offspring,16
Weezer,15
WagakkiBand,15
Gerard Way,14
The Used,13
Hello Sleepwalkers,13
KANA-BOON,13
Twenty One Pilots,13
I DONT KNOW HOW BUT THEY FOUND ME,12
Boston,11
Brandon Flowers,11
Unlucky Morpheus,11
Sum 41,10
Indigo la End,10
Pantera,10
Arctic Monkeys,10
The Brobecks,10
The Audition,10
Jimmy Eat World,9
Billy Joel,9
Rammstein,9
The Young Veins,9
Ice Nine Kills,9
London After Midnight,8
She Wants Revenge,8
Slipknot,8
UNDEAD CORPORATION,8
Electric Century,8
Rise Against,8
Blue Öyster Cult,8
BRADIO,7
Versailles,7
R.E.M.,7
Guns N' Roses,6
Dream Theater,6
Dance Gavin Dance,6
Joy Division,6
ネクライトーキー,6
Three Man Down,6
Set It Off,6
The Smiths,5
A Day To Remember,5
Daoko,5
Sleeping With Sirens,5
Santana,5
Asking Alexandria,5
Neïmo,5
EarlyRise,5
WANIMA,5
blink-182,5
UNDEAD CORPORATION DOUJIN WORKS,5
Dire Straits,4
Yellowcard,4
Girugamesh,4
Bodyslam,4
Cidergirl,4
FLOW,4
The Libertines,4
MAN WITH A MISSION,4
Elton John,4
Korn,4
Mushroomhead,4
Deftones,4
HIZAKI,3
Muse,3
Bullet For My Valentine,3
POLKADOT STINGRAY,3
Disturbed,3
+44,3
Andy Black,3
The HU,3
ASIAN KUNG-FU GENERATION,3
Isles & Glaciers,3
Keith Emerson,3
Neon Trees,3
Madsen,3
Greta Van Fleet,3
Three Days Grace,3
Mili,3
BABYMETAL,3
Molchat Doma,3
Lamb of God,2
The Voidz,2
Kyary Pamyu Pamyu,2
HEY-SMITH,2
The Who,2
The 1975,2
Destroy Rebuild Until God Shows,2
ZZ Top,2
Foo Fighters,2
Coheed and Cambria,2
Relient K,2
Finch,2
Godsmack,2
Anarbor,2
Ghost Town,2
Breathe Carolina,2
Hail The Sun,2
Icon For Hire,2
DADARAY,2
NakamuraEmi,2
Sunny Day Real Estate,2
Motionless In White,2
Boys Like Girls,2
Max Jenmana,2
SCRUBB,2
Fleshgod Apocalypse,2
Incubus,2
ROTTENGRAFFTY,2
Metallica,2
Rob Zombie,2
Jimi Hendrix,2
FUKUSHIGE MARI,2
Michael Calfan,2
Skillet,2
須田景凪,2
Papa Roach,2
The Cars,2
L'Arc-en-Ciel,2
lynch.,2
Måneskin,2
Linda,2
Arrested Youth,2
The Chameleons,2
Better Than Ezra,2
Tiësto,2
Crimson,2
American Hi-Fi,2
Meat Loaf,2
Duran Duran,2
Envy On The Coast,1
Megadeth,1
ALI,1
Seaway,1
The Fratellis,1
Imagine Dragons,1
Train,1
Stolas,1
Adelitas Way,1
Evanescence,1
Ghost and Pals,1
Temples,1
Stand Atlantic,1
Dry Kill Logic,1
9mm Parabellum Bullet,1
frederic,1
KISIDA KYODAN & THE AKEBOSI ROCKETS,1
IKASAN,1
Relent,1
Sokoninaru,1
Jean Leloup,1
Angels & Airwaves,1
Hitorie,1
Suspended 4th,1
Perfume,1
MUCC,1
Lyu:Lyu,1
UVERworld,1
Mastodon,1
ROOKiEZ is PUNK'D,1
American Pearl,1
OK Go,1
"Emerson, Lake & Palmer",1
The Home Team,1
David Bowie,1
Mötley Crüe,1
Eagles,1
TOTO,1
Poe,1
Gin Blossoms,1
Pat Benatar,1
Fleetwood Mac,1
Raspberries,1
Vertical Horizon,1
Dog's Eye View,1
Queen,1
Eric Johnson,1
Billy Idol,1
Sepultura,1
Van Halen,1
Deep Purple,1
B.J. Thomas,1
Def Leppard,1
Led Zeppelin,1
Chicago,1
New Radicals,1
Fuel,1
We The Kings,1
Jamiroquai,1
Asia,1
Derek & The Dominos,1
Electric Light Orchestra,1
Lit,1
Pink Floyd,1
Gojira,1
THE DEEP END,1
Madina Lake,1
Love and Death,1
Bayside,1
Franz Ferdinand,1
Iron Maiden,1
The Downtown Fiction,1
Neck Deep,1
The Red Jumpsuit Apparatus,1
Cute Is What We Aim For,1
SLAVES,1
Coldplay,1
Finger Eleven,1
3 Doors Down,1
The Ready Set,1
AFI,1
The Goo Goo Dolls,1
New Found Glory,1
The Gregory Brothers,1
The Wallflowers,1
Dishwalla,1
Gorillaz,1
You Me At Six,1
The Ataris,1
The Rolling Stones,1
ROAM,1
The Merry Thoughts,1
Story Untold,1
Cartel,1
Happy Hour,1
Priestess,1
Mudvayne,1
Ozzy Osbourne,1
Beartooth,1
Christian Death,1
THE ORAL CIGARETTES,1
Inferiority Complex,1
Megosh,1
The Cranberries,1
The Graduate,1
Wild Fire,1
Saosin,1
Nirvana,1
PAN,1
Thirty Seconds To Mars,1
Kids In America,1
SHANK,1
A Skylit Drive,1
Conquer Divide,1
Tame Impala,1
BACK DROP BOMB,1
The White Stripes,1
Anda Union,1
Silverstein,1
นท The Star นท พนายางกูร (Note The Star Note Panayanggool),1
KLEAR,1
Whal & Dolph,1
NOISEMAKER,1
Killswitch Engage,1
Metro Station,1
Basto,1
Any Given Sin,1
While She Sleeps,1
Avril Lavigne,1
ATARASHII GAKKO!,1
Aimyon,1
Imperial Circus Dead Decadence,1
Escape the Fate,1
Shinsei Kamattechan,1
Creature Feature,1
the GazettE,1
Martin Garrix,1
LADYBABY,1
Nightmare,1
Dimitri Vegas & Like Mike,1
SION,1
Steve Aoki,1
Fedde Le Grand,1
KSHMR,1
Zomboy,1
Pegboard Nerds,1
Pendulum,1
deadmau5,1
Knife Party,1
Yours Truly,1
PASSEPIED,1
After The Burial,1
Metalocalypse: Dethklok,1
Bignic,1
Eminem,1
Ink Waruntorn,1
Zom Marie,1
Scatman John,1
This Providence,1
36 Crazyfists,1
Pulse Ultra,1
It's Alive,1
Blindside,1
Earshot,1
flumpool,1
Nana Mizuki,1
Ill Niño,1
Slowdive,1
Bowling For Soup,1
DragonForce,1
Spineshank,1
Siouxsie and the Banshees,1
Lomosonic,1
Dragon Guardian,1
Fields Of The Nephilim,1
Skeletal Family,1
Sisters of Mercy,1
The Church,1
All About Eve,1
Black Sabbath,1
my bloody valentine,1
Limp Bizkit,1
Interpol,1
Hoobastank,1
Lebanon Hanover,1
Powerglove,1
The Bravery,1
Knuckle Puck,1
Hozier,1
Zero 9:36,1
Tilly Birds,1
fluffypak,1
SERIOUS BACON,1
Instinct,1
fellow fellow,1
Mother Mother,1
Less Than Jake,1
Rain Check,1
Saliva,1
The Spill Canvas,1
BLUE ENCOUNT,1
ONE OK ROCK,1
SUPER BEAVER,1
Dagoba,1
Emarosa,1
Sugarcult,1
letlive.,1
Autopilot Off,1
With Confidence,1
Royal Coda,1
Infected Mushroom,1
Yunosuke,1
Eve,1
Anti-Flag,1
In Loving Memory,1
Hollywood Undead,1
Five Pointe O,1
Hey Monday,1
